"recordID","TITLE","JOURNAL","YEAR","KEYWORDS"
6499,"Wireless Sensor Networks for Ecology","Bioscience",2005,"KBS, NTL, VCR"
6500,"Wireless Sensor Networks for Ecology",NA,2005,"data collection, Network, radio, sensor, VCR"
6501,"Wireless sensor networks for ecology",NA,2005,"KBS"
13296,"Wind induced leaf binding by prairie cordgrass onto common milkweed in northeastern Kansas","The Prairie Naturalist",1995,"KNZ, milkweed, wind"
13735,"Wind induced leaf binding by prairie cordgrass onto common milkweed in northeastern Kansas",NA,1994,"KNZ, milkweed;Wind"
7280,"Wildlife dynamics in the changing New England landscape",NA,2004,"HFR, historical \& retrospective studies, historical wildlife dynamics in Massachusetts, LTER3, regional studies"
8867,"Wildlife dynamics in the changing New England landscape","Journal of Biogeography",2002,"HFR, historical \& retrospective studies, historical wildlife dynamics in Massachusetts, LTER3, office bibliography"
10318,"Why is the holistic approach becoming so important in landscape ecology?","Landscape and Urban Planning",2000,"SEV"
10319,"Why is the holistic approach becoming so important in landscape ecology?",NA,2000,"BES, holistic; LANDSCAPE; landscape ecology"
3930,"Why Are Predators More Sensitive to Habitat Size than Their Prey? Insights from Bromeliad Insect Food Webs.",NA,2008,"LUQ"
3929,"Why are predators more sensitive to habitat size than their prey? Insights from bromeliad insect food webs","American Naturalist",2008,"LUQ"
2224,"Who are the users? From a single user to a web of users in the design of a working standard","Information Systems Journal",2010,"CCE, PAL"
2225,"Who are the users? From a single user to a web of users in the design of a working standard",NA,2010,"CCE"
9596,"What is the observed relationship between species richness and productivity?","Ecology",2001,"KBS, LTER publications, LUQ, NTL"
9597,"What is the observed relationship between species richness and productivity?",NA,2001,"LUQ"
9598,"What is the observed relationship between species richness and productivity?",NA,2001,"KBS, LTER Publication"
3925,"What can ant diversity-energy relationships tell us about land use and land change (Hymenoptera: Formicidae)?","Myremecological News",2008,"JRN, mesocale"
3926,"What can ant diversity-energy relationships tell us about land use and land change (Hymenoptera: Formicidae)?",NA,2008,"JRN, review"
4702,"Wetland succession in a permafrost collapse: Interactions between fire and thermokarst",NA,2007,"BNZ"
3924,"Wetland succession in a permafrost collapse: interactions between fire and thermokarst","Biogeosciences",2008,"BNZ"
18901,"Waters of Coweeta.",NA,1953,"CWT"
17150,"Waters of Coweeta","No citation",1984,"CWT"
981,"Water quality and wet season diatom assemblage characteristics from the Tamiami Trail pilot swales sites","Phytotaxa",2012,"FCE"
982,"Water quality and wet season diatom assemblage characteristics from the Tamiami Trail pilot swales sites",NA,2012,"FCE"
13284,"Vegetation/Ecosystem Modeling and Analysis Project (VEMAP): Comparing biogeography and biogeochemistry models in a continental-scale study of terrestrial ecosystem responses to climate change and CO2 doubling","Global Biogeochemical Cycles",1995,"HFR, SGS"
13285,"Vegetation/Ecosystem Modeling and Analysis Project (VEMAP): Comparing biogeography and biogeochemistry models in a continental-scale study of terrestrial ecosystem responses to climate change and CO2 doubling",NA,1995,"HFR, LTER2"
6478,"Vegetation change: A reunifying concept in plant ecology",NA,2005,"BES, SEV"
6476,"Vegetation change: a reunifying concept in plant ecology","Perspectives in Plant Ecology, Evolution, and Systematics",2005,"CDR, SEV"
6477,"Vegetation change: a reunifying concept in plant ecology",NA,2005,"BES, CONCEPT; ecology; PLANT; VEGETATION"
